image,condition,purifier,clip,siglip,clip_orig_image,siglip_orig_image
raccoon_00,photoguard_c,crop_resize0.1,0.29059,0.09623,0.21402,-0.00231
raccoon_00,photoguard_c,identity,0.29524,0.0905,0.21402,-0.00231
raccoon_00,photoguard_c,jpeg30,0.29284,0.08451,0.21402,-0.00231
raccoon_00,photoguard_c,jpeg75,0.28455,0.08614,0.21402,-0.00231
raccoon_00,photoguard_c,jpeg_then_resize75,0.3614,0.13649,0.21402,-0.00231
raccoon_00,photoguard_c,noise0.05,0.30143,0.09422,0.21402,-0.00231
raccoon_00,photoguard_c,quantize16,0.3341,0.14163,0.21402,-0.00231
parrot_00,add,adverse_cleaner,0.31911,0.11079,0.23842,0.01712
parrot_00,add,blur1,0.31645,0.1084,0.23842,0.01712
parrot_00,add,crop_resize0.1,0.31481,0.10903,0.23842,0.01712
parrot_00,add,identity,0.32174,0.11799,0.23842,0.01712
parrot_00,add,jpeg30,0.32142,0.11251,0.23842,0.01712
parrot_00,add,jpeg75,0.31471,0.09819,0.23842,0.01712
parrot_00,add,jpeg_then_resize75,0.32208,0.10749,0.23842,0.01712
parrot_00,add,noise0.05,0.31013,0.11896,0.23842,0.01712
parrot_00,add,quantize16,0.31765,0.11695,0.23842,0.01712
parrot_00,apa_weak,adverse_cleaner,0.31909,0.1127,0.23842,0.01712
parrot_00,apa_weak,blur1,0.31748,0.11334,0.23842,0.01712
parrot_00,apa_weak,crop_resize0.1,0.29895,0.11627,0.23842,0.01712
parrot_00,apa_weak,identity,0.31662,0.11459,0.23842,0.01712
parrot_00,apa_weak,jpeg30,0.32437,0.11351,0.23842,0.01712
parrot_00,apa_weak,jpeg75,0.31811,0.1149,0.23842,0.01712
parrot_00,apa_weak,jpeg_then_resize75,0.32224,0.11009,0.23842,0.01712
parrot_00,apa_weak,noise0.05,0.31428,0.11626,0.23842,0.01712
parrot_00,apa_weak,quantize16,0.31329,0.11652,0.23842,0.01712
parrot_00,dia_r,adverse_cleaner,0.31644,0.11163,0.23842,0.01712
parrot_00,dia_r,blur1,0.30594,0.10529,0.23842,0.01712
parrot_00,dia_r,crop_resize0.1,0.31129,0.11134,0.23842,0.01712
parrot_00,dia_r,identity,0.30019,0.11632,0.23842,0.01712
parrot_00,dia_r,jpeg30,0.31752,0.11091,0.23842,0.01712
parrot_00,dia_r,jpeg75,0.31498,0.11677,0.23842,0.01712
parrot_00,dia_r,jpeg_then_resize75,0.31909,0.10896,0.23842,0.01712
parrot_00,dia_r,noise0.05,0.31071,0.11824,0.23842,0.01712
parrot_00,dia_r,quantize16,0.31215,0.11198,0.23842,0.01712
parrot_00,mist,adverse_cleaner,0.3015,0.11078,0.23842,0.01712
parrot_00,mist,blur1,0.30781,0.11567,0.23842,0.01712
parrot_00,mist,crop_resize0.1,0.32002,0.11797,0.23842,0.01712
parrot_00,mist,identity,0.30506,0.10832,0.23842,0.01712
parrot_00,mist,jpeg30,0.30726,0.1166,0.23842,0.01712
parrot_00,mist,jpeg75,0.30764,0.11792,0.23842,0.01712
parrot_00,mist,jpeg_then_resize75,0.30775,0.10861,0.23842,0.01712
parrot_00,mist,noise0.05,0.31358,0.1146,0.23842,0.01712
parrot_00,mist,quantize16,0.28549,0.09989,0.23842,0.01712
parrot_00,phase,adverse_cleaner,0.31589,0.11005,0.23842,0.01712
parrot_00,phase,blur1,0.30887,0.10827,0.23842,0.01712
parrot_00,phase,crop_resize0.1,0.32549,0.10493,0.23842,0.01712
parrot_00,phase,identity,0.31872,0.11319,0.23842,0.01712
parrot_00,phase,jpeg30,0.31737,0.11435,0.23842,0.01712
parrot_00,phase,jpeg75,0.31386,0.11259,0.23842,0.01712
parrot_00,phase,jpeg_then_resize75,0.32081,0.11258,0.23842,0.01712
parrot_00,phase,noise0.05,0.31899,0.11562,0.23842,0.01712
parrot_00,phase,quantize16,0.31771,0.11848,0.23842,0.01712
parrot_00,phase_rand,adverse_cleaner,0.31799,0.11035,0.23842,0.01712
parrot_00,phase_rand,blur1,0.31721,0.10591,0.23842,0.01712
parrot_00,phase_rand,crop_resize0.1,0.30908,0.10876,0.23842,0.01712
parrot_00,phase_rand,identity,0.31429,0.11132,0.23842,0.01712
parrot_00,phase_rand,jpeg30,0.31516,0.11114,0.23842,0.01712
parrot_00,phase_rand,jpeg75,0.31117,0.11139,0.23842,0.01712
parrot_00,phase_rand,jpeg_then_resize75,0.31914,0.1049,0.23842,0.01712
parrot_00,phase_rand,noise0.05,0.31436,0.11887,0.23842,0.01712
parrot_00,phase_rand,quantize16,0.31499,0.11204,0.23842,0.01712
parrot_00,photoguard_c,adverse_cleaner,0.32567,0.1096,0.23842,0.01712
parrot_00,photoguard_c,blur1,0.32354,0.11018,0.23842,0.01712
parrot_00,photoguard_c,crop_resize0.1,0.31293,0.11791,0.23842,0.01712
parrot_00,photoguard_c,identity,0.32256,0.11911,0.23842,0.01712
parrot_00,photoguard_c,jpeg30,0.32716,0.1129,0.23842,0.01712
parrot_00,photoguard_c,jpeg75,0.32019,0.11338,0.23842,0.01712
parrot_00,photoguard_c,jpeg_then_resize75,0.31989,0.11278,0.23842,0.01712
parrot_00,photoguard_c,noise0.05,0.31562,0.11948,0.23842,0.01712
parrot_00,photoguard_c,quantize16,0.31481,0.11953,0.23842,0.01712
